Links,subdir1,subdir2,subdir3
https://www.datacamp.com/business/hire-data-professionals,business,hire-data-professionals,
https://www.datacamp.com/business/hire-data-professionals/sign_up,business,hire-data-professionals,sign_up
https://www.datacamp.com/business/custom-tracks,business,custom-tracks,
https://www.datacamp.com/business/learn-teams,business,learn-teams,
https://www.datacamp.com/business/certification,business,certification,
https://www.datacamp.com/business/government-industry,business,government-industry,
https://www.datacamp.com/business/finance-industry,business,finance-industry,
https://www.datacamp.com/business/healthcare-industry,business,healthcare-industry,
https://www.datacamp.com/business/compare-plans,business,compare-plans,
https://www.datacamp.com/business/technology-industry,business,technology-industry,
https://www.datacamp.com/business/data-upskilling,business,data-upskilling,
https://www.datacamp.com/business/consulting-industry,business,consulting-industry,
https://www.datacamp.com/business/data-unlimited,business,data-unlimited,
https://www.datacamp.com/business/hire-data-analysts,business,hire-data-analysts,
https://www.datacamp.com/business/hire-business-analysts,business,hire-business-analysts,
https://www.datacamp.com/business/hire-ml-engineers,business,hire-ml-engineers,
https://www.datacamp.com/business/hr-and-ld-managers,business,hr-and-ld-managers,
https://www.datacamp.com/business/customer-stories,business,customer-stories,
https://www.datacamp.com/business/custom-certification,business,custom-certification,
https://www.datacamp.com/business/chief-data-officers,business,chief-data-officers,
https://www.datacamp.com/business/demo,business,demo,
https://www.datacamp.com/business/workspace,business,workspace,
https://www.datacamp.com/business/integration,business,integration,
https://www.datacamp.com/business/reporting,business,reporting,
https://www.datacamp.com/business,business,,
https://www.datacamp.com/business/build-the-future,business,build-the-future,
https://www.datacamp.com/business/custom-learning-solutions,business,custom-learning-solutions,
https://www.datacamp.com/business/customer-success,business,customer-success,
https://www.datacamp.com/business/data-literacy,business,data-literacy,
https://www.datacamp.com/business/data-academy,business,data-academy,
https://www.datacamp.com/business/active-learning,business,active-learning,
https://www.datacamp.com/business/learn,business,learn,
