Links,subdir1,subdir2,subdir3
https://www.datacamp.com/tutorial/category/career-services,tutorial,category,career-services
https://www.datacamp.com/tutorial/category/julia,tutorial,category,julia
https://www.datacamp.com/tutorial/category/python,tutorial,category,python
https://www.datacamp.com/tutorial/category/r-programming,tutorial,category,r-programming
https://www.datacamp.com/tutorial/category/data-science,tutorial,category,data-science
https://www.datacamp.com/tutorial/category/machine-learning,tutorial,category,machine-learning
https://www.datacamp.com/tutorial/category/tableau,tutorial,category,tableau
https://www.datacamp.com/tutorial/category/data-visualization,tutorial,category,data-visualization
https://www.datacamp.com/tutorial/category/power-bi,tutorial,category,power-bi
https://www.datacamp.com/tutorial/category/sql,tutorial,category,sql
https://www.datacamp.com/tutorial/category/big-data,tutorial,category,big-data
https://www.datacamp.com/tutorial/category/data-literacy,tutorial,category,data-literacy
https://www.datacamp.com/tutorial/category/data-analysis,tutorial,category,data-analysis
https://www.datacamp.com/tutorial/category/git,tutorial,category,git
https://www.datacamp.com/tutorial/category/spreadsheets,tutorial,category,spreadsheets
https://www.datacamp.com/tutorial/category/ai,tutorial,category,ai
https://www.datacamp.com/tutorial/category/workspace,tutorial,category,workspace
https://www.datacamp.com/tutorial/category/for-business,tutorial,category,for-business
https://www.datacamp.com/tutorial/category/deep-learning,tutorial,category,deep-learning
https://www.datacamp.com/tutorial/category/scala,tutorial,category,scala
https://www.datacamp.com/tutorial/category/data-engineering,tutorial,category,data-engineering
