Links,subdir1,subdir2
https://www.datacamp.com/cheat-sheet/reshaping-data-with-pandas-in-python,cheat-sheet,reshaping-data-with-pandas-in-python
https://www.datacamp.com/cheat-sheet/data-quality-dimensions-cheat-sheet,cheat-sheet,data-quality-dimensions-cheat-sheet
https://www.datacamp.com/cheat-sheet/microsoft-exam-comparison-of-pl-300-power-bi-data-analyst-vs-pl-900-power-platform-fundamentals,cheat-sheet,microsoft-exam-comparison-of-pl-300-power-bi-data-analyst-vs-pl-900-power-platform-fundamentals
https://www.datacamp.com/cheat-sheet/data-manipulation-in-excel-cheat-sheet,cheat-sheet,data-manipulation-in-excel-cheat-sheet
https://www.datacamp.com/cheat-sheet/aws-azure-and-gcp-service-comparison-for-data-science-and-ai,cheat-sheet,aws-azure-and-gcp-service-comparison-for-data-science-and-ai
https://www.datacamp.com/cheat-sheet/my-sql-basics-cheat-sheet,cheat-sheet,my-sql-basics-cheat-sheet
https://www.datacamp.com/cheat-sheet/quarto-cheat-sheet-previously-known-as-r-markdown,cheat-sheet,quarto-cheat-sheet-previously-known-as-r-markdown
https://www.datacamp.com/cheat-sheet/docker-for-data-science-cheet-sheet,cheat-sheet,docker-for-data-science-cheet-sheet
https://www.datacamp.com/cheat-sheet/chatgpt-cheat-sheet-data-science,cheat-sheet,chatgpt-cheat-sheet-data-science
https://www.datacamp.com/cheat-sheet/how-to-pass-microsoft-exam-pl-300-power-bi-data-analyst,cheat-sheet,how-to-pass-microsoft-exam-pl-300-power-bi-data-analyst
https://www.datacamp.com/cheat-sheet/the-open-ai-api-in-python,cheat-sheet,the-open-ai-api-in-python
https://www.datacamp.com/cheat-sheet/the-generative-ai-tools-landscape,cheat-sheet,the-generative-ai-tools-landscape
https://www.datacamp.com/cheat-sheet/data-transformation-with-power-query-m-in-power-bi,cheat-sheet,data-transformation-with-power-query-m-in-power-bi
https://www.datacamp.com/cheat-sheet/working-with-tables-in-power-query-m-in-power-bi,cheat-sheet,working-with-tables-in-power-query-m-in-power-bi
https://www.datacamp.com/cheat-sheet/reshaping-data-with-tidyr-in-r,cheat-sheet,reshaping-data-with-tidyr-in-r
https://www.datacamp.com/cheat-sheet/plotly-express-cheat-sheet,cheat-sheet,plotly-express-cheat-sheet
https://www.datacamp.com/cheat-sheet/the-data-information-knowledge-wisdom-pyramid,cheat-sheet,the-data-information-knowledge-wisdom-pyramid
https://www.datacamp.com/cheat-sheet/conda-cheat-sheet,cheat-sheet,conda-cheat-sheet
https://www.datacamp.com/cheat-sheet/deep-learning-with-py-torch,cheat-sheet,deep-learning-with-py-torch
https://www.datacamp.com/cheat-sheet/numpy-cheat-sheet-data-analysis-in-python,cheat-sheet,numpy-cheat-sheet-data-analysis-in-python
https://www.datacamp.com/cheat-sheet/pandas-cheat-sheet-data-wrangling-in-python,cheat-sheet,pandas-cheat-sheet-data-wrangling-in-python
https://www.datacamp.com/cheat-sheet/tidyverse-cheat-sheet-for-beginners,cheat-sheet,tidyverse-cheat-sheet-for-beginners
