Links,subdir1,subdir2
https://www.datacamp.com/code-along/automate-business-metric-reporting-with-data-camp-workspace,code-along,automate-business-metric-reporting-with-data-camp-workspace
https://www.datacamp.com/code-along/image-classification-hugging-face,code-along,image-classification-hugging-face
https://www.datacamp.com/code-along/datacamp-live-code-along-introduction-to-workspace-teams,code-along,datacamp-live-code-along-introduction-to-workspace-teams
https://www.datacamp.com/code-along/ungated-live-code-along-predicting-hotel-booking-cancellation-in-python,code-along,ungated-live-code-along-predicting-hotel-booking-cancellation-in-python
https://www.datacamp.com/code-along/live-training-numpy-crash-course,code-along,live-training-numpy-crash-course
https://www.datacamp.com/code-along,code-along,
https://www.datacamp.com/code-along/live-training-sentiment-analysis-and-prediction-in-python,code-along,live-training-sentiment-analysis-and-prediction-in-python
https://www.datacamp.com/code-along/live-training-visualizing-cost-savings-from-early-cancer-diagnosis-in-tableau,code-along,live-training-visualizing-cost-savings-from-early-cancer-diagnosis-in-tableau
https://www.datacamp.com/code-along/vector-databases-for-data-science-with-weaviate-in-python,code-along,vector-databases-for-data-science-with-weaviate-in-python
https://www.datacamp.com/code-along/simplifying-image-recognition-using-aperture-db-and-python,code-along,simplifying-image-recognition-using-aperture-db-and-python
https://www.datacamp.com/code-along/getting-started-in-sql,code-along,getting-started-in-sql
https://www.datacamp.com/code-along/live-training-exploring-cell-phone-data-in-tableau,code-along,live-training-exploring-cell-phone-data-in-tableau
https://www.datacamp.com/code-along/live-training-solving-hr-analytics-case-study-with-power-bi,code-along,live-training-solving-hr-analytics-case-study-with-power-bi
https://www.datacamp.com/code-along/dashboard-design-best-practices-in-tableau,code-along,dashboard-design-best-practices-in-tableau
https://www.datacamp.com/code-along/exploratory-data-analysis-python-beginners,code-along,exploratory-data-analysis-python-beginners
https://www.datacamp.com/code-along/running-machine-learning-experiments-in-python,code-along,running-machine-learning-experiments-in-python
https://www.datacamp.com/code-along/data-analysis-in-julia-for-beginners,code-along,data-analysis-in-julia-for-beginners
https://www.datacamp.com/code-along/using-chat-gpt-code-interpreter-for-data-science,code-along,using-chat-gpt-code-interpreter-for-data-science
https://www.datacamp.com/code-along/live-training-data-visualization-in-python-for-beginners,code-along,live-training-data-visualization-in-python-for-beginners
https://www.datacamp.com/code-along/live-training-using-workspace-in-data-academies,code-along,live-training-using-workspace-in-data-academies
https://www.datacamp.com/code-along/fine-tuning-your-own-llama-2-model,code-along,fine-tuning-your-own-llama-2-model
https://www.datacamp.com/code-along/optimizing-gpt-prompts-for-data-science,code-along,optimizing-gpt-prompts-for-data-science
https://www.datacamp.com/code-along/prompt-engineering-gpt-langchain,code-along,prompt-engineering-gpt-langchain
https://www.datacamp.com/code-along/building-chatbots-openai-api-pinecone,code-along,building-chatbots-openai-api-pinecone
https://www.datacamp.com/code-along/priceless-probability-puzzles-python,code-along,priceless-probability-puzzles-python
https://www.datacamp.com/code-along/live-training-analyzing-marketing-funnel-in-spreadsheets,code-along,live-training-analyzing-marketing-funnel-in-spreadsheets
https://www.datacamp.com/code-along/generating-photorealistic-images-using-ai-with-diffusers-in-python,code-along,generating-photorealistic-images-using-ai-with-diffusers-in-python
https://www.datacamp.com/code-along/using-open-source-models-hugging-face,code-along,using-open-source-models-hugging-face
https://www.datacamp.com/code-along/live-training-analyzing-students-mental-health-in-sql,code-along,live-training-analyzing-students-mental-health-in-sql
https://www.datacamp.com/code-along/live-training-analyzing-streaming-content-data-in-sql,code-along,live-training-analyzing-streaming-content-data-in-sql
https://www.datacamp.com/code-along/live-training-exploring-world-cup-data-power-bi,code-along,live-training-exploring-world-cup-data-power-bi
https://www.datacamp.com/code-along/introduction-to-large-language-models-gpt-langchain,code-along,introduction-to-large-language-models-gpt-langchain
https://www.datacamp.com/code-along/building-nlp-applications-hugging-face,code-along,building-nlp-applications-hugging-face
https://www.datacamp.com/code-along/live-training-time-series-analysis-in-python,code-along,live-training-time-series-analysis-in-python
https://www.datacamp.com/code-along/dashboard-design-in-power-bi,code-along,dashboard-design-in-power-bi
https://www.datacamp.com/code-along/ungated-live-training-dashboard-design-in-tableau,code-along,ungated-live-training-dashboard-design-in-tableau
https://www.datacamp.com/code-along/Report-Design-Best-Practices-in-PowerBI,code-along,Report-Design-Best-Practices-in-PowerBI
https://www.datacamp.com/code-along/retrieval-augmented-generation-with-gpt-and-milvus,code-along,retrieval-augmented-generation-with-gpt-and-milvus
https://www.datacamp.com/code-along/live-training-solving-a-job-interview-case-study-with-power-bi,code-along,live-training-solving-a-job-interview-case-study-with-power-bi
https://www.datacamp.com/code-along/using-synthetic-data-for-machine-learning-and-ai-in-python,code-along,using-synthetic-data-for-machine-learning-and-ai-in-python
https://www.datacamp.com/code-along/introduction-to-experiment-tracking,code-along,introduction-to-experiment-tracking
https://www.datacamp.com/code-along/analyzing-top-runner-performance-from-a-to-z-with-ai-using-workspace,code-along,analyzing-top-runner-performance-from-a-to-z-with-ai-using-workspace
https://www.datacamp.com/code-along/live-training-analyzing-a-time-series-in-python,code-along,live-training-analyzing-a-time-series-in-python
https://www.datacamp.com/code-along/live-training-analyzing-nasa-budgets-in-sql,code-along,live-training-analyzing-nasa-budgets-in-sql
https://www.datacamp.com/code-along/getting-started-with-data-analysis-in-snowflake-using-python-and-sql,code-along,getting-started-with-data-analysis-in-snowflake-using-python-and-sql
https://www.datacamp.com/code-along/analyzing-categorical-data-in-python,code-along,analyzing-categorical-data-in-python
https://www.datacamp.com/code-along/multimodal-ai-applications-langchain-openai-api,code-along,multimodal-ai-applications-langchain-openai-api
https://www.datacamp.com/code-along/live-training-participating-in-competitions,code-along,live-training-participating-in-competitions
https://www.datacamp.com/code-along/ungated-a-beginners-guide-to-prompt-engineering-with-chatgpt,code-along,ungated-a-beginners-guide-to-prompt-engineering-with-chatgpt
https://www.datacamp.com/code-along/data-storytelling-for-absolute-beginners-a-case-study-with-green-businesses,code-along,data-storytelling-for-absolute-beginners-a-case-study-with-green-businesses
https://www.datacamp.com/code-along/cleaning-data-in-python,code-along,cleaning-data-in-python
https://www.datacamp.com/code-along/data-modeling-in-sql,code-along,data-modeling-in-sql
