Links,subdir1,subdir2
https://www.datacamp.com/courses/dashboard-design-concepts,courses,dashboard-design-concepts
https://www.datacamp.com/courses/baseball-data-visualization-in-power-bi,courses,baseball-data-visualization-in-power-bi
https://www.datacamp.com/courses/ab-testing-in-python,courses,ab-testing-in-python
https://www.datacamp.com/courses/introduction-to-data-quality,courses,introduction-to-data-quality
https://www.datacamp.com/courses/intermediate-julia,courses,intermediate-julia
https://www.datacamp.com/courses/analyzing-survey-data-in-python,courses,analyzing-survey-data-in-python
https://www.datacamp.com/courses/intermediate-deep-learning-with-pytorch,courses,intermediate-deep-learning-with-pytorch
https://www.datacamp.com/courses/introduction-to-programming-paradigms,courses,introduction-to-programming-paradigms
https://www.datacamp.com/courses/developing-machine-learning-models-for-production,courses,developing-machine-learning-models-for-production
https://www.datacamp.com/courses/analyzing-financial-statements-in-python,courses,analyzing-financial-statements-in-python
https://www.datacamp.com/courses/data-science-for-business,courses,data-science-for-business
https://www.datacamp.com/courses/creating-r-packages,courses,creating-r-packages
https://www.datacamp.com/courses/time-series-analysis-in-postgresql,courses,time-series-analysis-in-postgresql
https://www.datacamp.com/courses/case-study-supply-chain-analytics-in-power-bi,courses,case-study-supply-chain-analytics-in-power-bi
https://www.datacamp.com/courses/generative-ai-for-business,courses,generative-ai-for-business
https://www.datacamp.com/courses/case-study-supply-chain-analytics-in-tableau,courses,case-study-supply-chain-analytics-in-tableau
https://www.datacamp.com/courses/data-types-for-data-science-in-python,courses,data-types-for-data-science-in-python
https://www.datacamp.com/courses/writing-efficient-r-code,courses,writing-efficient-r-code
https://www.datacamp.com/courses/supervised-learning-in-r-classification,courses,supervised-learning-in-r-classification
https://www.datacamp.com/courses/hypothesis-testing-in-r,courses,hypothesis-testing-in-r
https://www.datacamp.com/courses/sampling-in-r,courses,sampling-in-r
https://www.datacamp.com/courses/analyzing-data-in-tableau,courses,analyzing-data-in-tableau
https://www.datacamp.com/courses/case-study-mortgage-trading-analysis-in-power-bi,courses,case-study-mortgage-trading-analysis-in-power-bi
https://www.datacamp.com/courses/introduction-to-databricks,courses,introduction-to-databricks
https://www.datacamp.com/courses/large-language-models-for-business,courses,large-language-models-for-business
