Links,subdir1,subdir2
https://www.datacamp.com/data-courses/upcoming-data-science-and-ai-courses,data-courses,upcoming-data-science-and-ai-courses
https://www.datacamp.com/data-courses/natural-language-processing-with-spacy,data-courses,natural-language-processing-with-spacy
https://www.datacamp.com/data-courses/machine-learning-courses,data-courses,machine-learning-courses
https://www.datacamp.com/data-courses/data-visualization-courses,data-courses,data-visualization-courses
https://www.datacamp.com/data-courses/data-analysis-courses,data-courses,data-analysis-courses
https://www.datacamp.com/data-courses/r-courses,data-courses,r-courses
https://www.datacamp.com/data-courses/sql,data-courses,sql
https://www.datacamp.com/data-courses/introduction-to-optimization-in-python,data-courses,introduction-to-optimization-in-python
https://www.datacamp.com/data-courses/creating-r-packages,data-courses,creating-r-packages
https://www.datacamp.com/data-courses/tableau,data-courses,tableau
https://www.datacamp.com/data-courses/spreadsheet-courses,data-courses,spreadsheet-courses
https://www.datacamp.com/data-courses/data-engineering-courses,data-courses,data-engineering-courses
https://www.datacamp.com/data-courses/power-bi,data-courses,power-bi
