Links,subdir1,subdir2
https://www.datacamp.com/instructors/thomaslee,instructors,thomaslee
https://www.datacamp.com/instructors/ivanpc86,instructors,ivanpc86
https://www.datacamp.com/instructors/omriimed,instructors,omriimed
https://www.datacamp.com/instructors/zihan-huang-2010,instructors,zihan-huang-2010
https://www.datacamp.com/instructors/823595459,instructors,823595459
https://www.datacamp.com/instructors/sowmyavivek,instructors,sowmyavivek
https://www.datacamp.com/instructors/ronaldkpearson,instructors,ronaldkpearson
https://www.datacamp.com/instructors/yanalkashou,instructors,yanalkashou
https://www.datacamp.com/instructors/mpickard-7efe1106-2de1-4cf8-943a-29b6d204a579,instructors,mpickard-7efe1106-2de1-4cf8-943a-29b6d204a579
https://www.datacamp.com/instructors/ilyakipnis,instructors,ilyakipnis
https://www.datacamp.com/instructors/kevindunn,instructors,kevindunn
https://www.datacamp.com/instructors/samk3211,instructors,samk3211
https://www.datacamp.com/instructors/michlsemn,instructors,michlsemn
https://www.datacamp.com/instructors/amy-mccarty0ff72301-218f-4486-8aca-4a78ce9d8550,instructors,amy-mccarty0ff72301-218f-4486-8aca-4a78ce9d8550
https://www.datacamp.com/instructors/sctyner,instructors,sctyner
https://www.datacamp.com/instructors/hakim-d4e8ad3b-c84d-4ddb-9304-1219c3763004,instructors,hakim-d4e8ad3b-c84d-4ddb-9304-1219c3763004
https://www.datacamp.com/instructors/hannahdavidoff97,instructors,hannahdavidoff97
https://www.datacamp.com/instructors/jdblischak,instructors,jdblischak
https://www.datacamp.com/instructors/lyndsaygirard,instructors,lyndsaygirard
https://www.datacamp.com/instructors/jorge-zazueta-g,instructors,jorge-zazueta-g
https://www.datacamp.com/instructors/justin-saddlemyer,instructors,justin-saddlemyer
https://www.datacamp.com/instructors/rfalcon,instructors,rfalcon
https://www.datacamp.com/instructors/bois,instructors,bois
https://www.datacamp.com/instructors/ebunandrew,instructors,ebunandrew
https://www.datacamp.com/instructors/tusharshanker,instructors,tusharshanker
https://www.datacamp.com/instructors/lburleigh,instructors,lburleigh
https://www.datacamp.com/instructors/jamsheed,instructors,jamsheed
https://www.datacamp.com/instructors/lavanyagupta18,instructors,lavanyagupta18
https://www.datacamp.com/instructors/shivalimalhotra,instructors,shivalimalhotra
https://www.datacamp.com/instructors/stubberf,instructors,stubberf
https://www.datacamp.com/instructors/gauthiergeorgis,instructors,gauthiergeorgis
https://www.datacamp.com/instructors/ManciniRiccardo,instructors,ManciniRiccardo
https://www.datacamp.com/instructors/jmperafan,instructors,jmperafan
https://www.datacamp.com/instructors/cbloomdata,instructors,cbloomdata
https://www.datacamp.com/instructors/mayureshshilotri,instructors,mayureshshilotri
https://www.datacamp.com/instructors/christopherbruffaerts,instructors,christopherbruffaerts
https://www.datacamp.com/instructors/markplutowski,instructors,markplutowski
https://www.datacamp.com/instructors/mine,instructors,mine
https://www.datacamp.com/instructors/surendravasanthakumari,instructors,surendravasanthakumari
https://www.datacamp.com/instructors/kkattidis,instructors,kkattidis
https://www.datacamp.com/instructors/dimagor,instructors,dimagor
https://www.datacamp.com/instructors/asteinfurth,instructors,asteinfurth
https://www.datacamp.com/instructors/melinda-higgins,instructors,melinda-higgins
https://www.datacamp.com/instructors/hullisaiah,instructors,hullisaiah
https://www.datacamp.com/instructors/markus-harrer,instructors,markus-harrer
https://www.datacamp.com/instructors/dominikegarter,instructors,dominikegarter
https://www.datacamp.com/instructors/xpri,instructors,xpri
https://www.datacamp.com/instructors/leondragonzalez,instructors,leondragonzalez
https://www.datacamp.com/instructors/irenehoffmann,instructors,irenehoffmann
https://www.datacamp.com/instructors/scavetta,instructors,scavetta
https://www.datacamp.com/instructors/miriamantona-1fc7eef4-b612-49e8-ae9c-e14017023b5e,instructors,miriamantona-1fc7eef4-b612-49e8-ae9c-e14017023b5e
https://www.datacamp.com/instructors/kevinmarkham,instructors,kevinmarkham
https://www.datacamp.com/instructors/dtedesco1,instructors,dtedesco1
https://www.datacamp.com/instructors/mike-metzger,instructors,mike-metzger
https://www.datacamp.com/instructors/davidardiach,instructors,davidardiach
https://www.datacamp.com/instructors/kevincurtisbarlow,instructors,kevincurtisbarlow
https://www.datacamp.com/instructors/captainqq,instructors,captainqq
https://www.datacamp.com/instructors/vestuto,instructors,vestuto
https://www.datacamp.com/instructors/oliverwillekens,instructors,oliverwillekens
https://www.datacamp.com/instructors/dcecchini,instructors,dcecchini
https://www.datacamp.com/instructors/amy-4121b590-cc52-442a-9779-03eb58089e08,instructors,amy-4121b590-cc52-442a-9779-03eb58089e08
https://www.datacamp.com/instructors/verena-pflieger,instructors,verena-pflieger
https://www.datacamp.com/instructors/jamenlong,instructors,jamenlong
https://www.datacamp.com/instructors/gleach,instructors,gleach
https://www.datacamp.com/instructors/mariaoskarsdottir,instructors,mariaoskarsdottir
https://www.datacamp.com/instructors/thushv,instructors,thushv
https://www.datacamp.com/instructors/eleanorthomas,instructors,eleanorthomas
https://www.datacamp.com/instructors/lee-hachadoorian,instructors,lee-hachadoorian
https://www.datacamp.com/instructors/deepeshvashisthadv,instructors,deepeshvashisthadv
https://www.datacamp.com/instructors/laurensgeffert,instructors,laurensgeffert
https://www.datacamp.com/instructors/profoz,instructors,profoz
https://www.datacamp.com/instructors/dcheny,instructors,dcheny
https://www.datacamp.com/instructors/moelotfy2,instructors,moelotfy2
https://www.datacamp.com/instructors/ericeager82,instructors,ericeager82
https://www.datacamp.com/instructors/shosaco,instructors,shosaco
https://www.datacamp.com/instructors/cmoffitt,instructors,cmoffitt
https://www.datacamp.com/instructors/ilya-kipnis,instructors,ilya-kipnis
https://www.datacamp.com/instructors/datascienceab,instructors,datascienceab
https://www.datacamp.com/instructors/colingillespie,instructors,colingillespie
https://www.datacamp.com/instructors/kaseyriver11,instructors,kaseyriver11
https://www.datacamp.com/instructors/sdaityari,instructors,sdaityari
https://www.datacamp.com/instructors/meugeinzaug,instructors,meugeinzaug
https://www.datacamp.com/instructors/mkjohnman,instructors,mkjohnman
