Links,subdir1,subdir2
https://www.datacamp.com/podcast/fighting-the-climate-crisis-with-data,podcast,fighting-the-climate-crisis-with-data
https://www.datacamp.com/podcast/data-journalism-in-the-age-of-covid-19,podcast,data-journalism-in-the-age-of-covid-19
https://www.datacamp.com/podcast/building-trust-in-data-with-data-governance,podcast,building-trust-in-data-with-data-governance
https://www.datacamp.com/podcast/making-better-decisions-using-data-and-ai-with-cassie-kozyrkov-googles-first-chief-decision-scientist,podcast,making-better-decisions-using-data-and-ai-with-cassie-kozyrkov-googles-first-chief-decision-scientist
https://www.datacamp.com/podcast/how-the-aviation-industry-leverages-data-science,podcast,how-the-aviation-industry-leverages-data-science
https://www.datacamp.com/podcast/unlocking-scalable-roi-data-teams,podcast,unlocking-scalable-roi-data-teams
https://www.datacamp.com/podcast/increasing-diverse-representation-in-data-science,podcast,increasing-diverse-representation-in-data-science
https://www.datacamp.com/podcast/radar-recap-navigating-the-future-of-data-literacy,podcast,radar-recap-navigating-the-future-of-data-literacy
https://www.datacamp.com/podcast/becoming-kaggle-grand-master,podcast,becoming-kaggle-grand-master
https://www.datacamp.com/podcast/124-using-ai-to-improve-data-quality-in-healthcare,podcast,124-using-ai-to-improve-data-quality-in-healthcare
https://www.datacamp.com/podcast/make-your-a-b-testing-more-effective-and-efficient,podcast,make-your-a-b-testing-more-effective-and-efficient
https://www.datacamp.com/podcast/preventing-fraud-in-ecommerce-with-data-science,podcast,preventing-fraud-in-ecommerce-with-data-science
https://www.datacamp.com/podcast/the-past-present-and-future-of-generative-ai-with-joanne-chen-general-partner-at-foundation-capital,podcast,the-past-present-and-future-of-generative-ai-with-joanne-chen-general-partner-at-foundation-capital
https://www.datacamp.com/podcast/how-data-scientists-can-thrive-in-consulting,podcast,how-data-scientists-can-thrive-in-consulting
https://www.datacamp.com/podcast/building-diverse-data-teams-with-tracy-daniels-chief-data-officer-at-truist,podcast,building-diverse-data-teams-with-tracy-daniels-chief-data-officer-at-truist
https://www.datacamp.com/podcast/fake-news-detection-with-data-science,podcast,fake-news-detection-with-data-science
https://www.datacamp.com/podcast/chat-gpt-and-the-open-ai-developer-ecosystem,podcast,chat-gpt-and-the-open-ai-developer-ecosystem
https://www.datacamp.com/podcast/past-present-future-data-science-notebooks,podcast,past-present-future-data-science-notebooks
https://www.datacamp.com/podcast/scaling-the-data-culture-at-salesforce,podcast,scaling-the-data-culture-at-salesforce
https://www.datacamp.com/podcast/how-data-scientists-can-thrive-in-the-fmcg-industry,podcast,how-data-scientists-can-thrive-in-the-fmcg-industry
https://www.datacamp.com/podcast/unleashing-the-power-of-data-teams-in-2023,podcast,unleashing-the-power-of-data-teams-in-2023
https://www.datacamp.com/podcast/successful-frameworks-for-scaling-data-maturity,podcast,successful-frameworks-for-scaling-data-maturity
https://www.datacamp.com/podcast/data-framed-ai-series-3-gpt-and-generative-ai-for-data-teams,podcast,data-framed-ai-series-3-gpt-and-generative-ai-for-data-teams
https://www.datacamp.com/podcast/data-driven-thinking-for-the-everyday-life,podcast,data-driven-thinking-for-the-everyday-life
https://www.datacamp.com/podcast/intel-cto-steve-orrin-on-how-governments-can-navigate-the-data-and-ai-revolution,podcast,intel-cto-steve-orrin-on-how-governments-can-navigate-the-data-and-ai-revolution
https://www.datacamp.com/podcast/building-a-holistic-data-science-function-at-new-york-life-insurance,podcast,building-a-holistic-data-science-function-at-new-york-life-insurance
https://www.datacamp.com/podcast/data-science-and-ai-in-the-gaming-industry,podcast,data-science-and-ai-in-the-gaming-industry
https://www.datacamp.com/podcast/how-data-science-is-transforming-the-nba,podcast,how-data-science-is-transforming-the-nba
https://www.datacamp.com/podcast/building-data-literacy-at-starbucks,podcast,building-data-literacy-at-starbucks
