Links,subdir1,subdir2,subdir3
https://www.datacamp.com/resources/webinars/how-specsavers-upskilled-their-data-teams,resources,webinars,how-specsavers-upskilled-their-data-teams
https://www.datacamp.com/resources/webinars/webinar-or-data-literacy-in-the-21st-century,resources,webinars,webinar-or-data-literacy-in-the-21st-century
https://www.datacamp.com/resources/webinars/datacamp-for-enterprise-whats-new-in-2020,resources,webinars,datacamp-for-enterprise-whats-new-in-2020
https://www.datacamp.com/resources/webinars/datacamp-q1-2022-roadmap,resources,webinars,datacamp-q1-2022-roadmap
https://www.datacamp.com/resources/webinars/using-chat-gpt-code-interpreter-for-data-science,resources,webinars,using-chat-gpt-code-interpreter-for-data-science
https://www.datacamp.com/resources/webinars/data-trends-and-predictions-2023,resources,webinars,data-trends-and-predictions-2023
https://www.datacamp.com/resources/webinars/building-a-data-strategy-aligning-data-with-business-goals,resources,webinars,building-a-data-strategy-aligning-data-with-business-goals
https://www.datacamp.com/resources/webinars/scaling-data-literacy-in-government,resources,webinars,scaling-data-literacy-in-government
https://www.datacamp.com/resources/webinars/building-ai-skills-with-datacamp,resources,webinars,building-ai-skills-with-datacamp
https://www.datacamp.com/resources/webinars/buy-or-train-using-large-language-models-in-the-enterprise,resources,webinars,buy-or-train-using-large-language-models-in-the-enterprise
https://www.datacamp.com/resources/webinars/avoiding-pitfalls-in-data-democratization,resources,webinars,avoiding-pitfalls-in-data-democratization
https://www.datacamp.com/resources/webinars/datacamp-certifications-deep-dive,resources,webinars,datacamp-certifications-deep-dive
https://www.datacamp.com/resources/webinars/data-science-in-the-energy-industry,resources,webinars,data-science-in-the-energy-industry
https://www.datacamp.com/resources/webinars/why-hire-a-data-camp-certified-candidate,resources,webinars,why-hire-a-data-camp-certified-candidate
https://www.datacamp.com/resources/webinars/what-chat-gpt-and-generative-ai-mean-for-data-privacy,resources,webinars,what-chat-gpt-and-generative-ai-mean-for-data-privacy
https://www.datacamp.com/resources/webinars/data-literacy-how-to-guide-for-leaders,resources,webinars,data-literacy-how-to-guide-for-leaders
https://www.datacamp.com/resources/webinars/a-more-human-future-in-the-era-of-ai,resources,webinars,a-more-human-future-in-the-era-of-ai
https://www.datacamp.com/resources/webinars/optimizing-gpt-prompts-for-data-science,resources,webinars,optimizing-gpt-prompts-for-data-science
https://www.datacamp.com/resources/webinars/new-dimensions-x-datacamp-donates-empowering-women-in-ecuador-with-data-literacy,resources,webinars,new-dimensions-x-datacamp-donates-empowering-women-in-ecuador-with-data-literacy
https://www.datacamp.com/resources/webinars/generating-photorealistic-images-using-ai-with-diffusers-in-python,resources,webinars,generating-photorealistic-images-using-ai-with-diffusers-in-python
https://www.datacamp.com/resources/webinars/data-engineer-vs-data-scientist-which-one-should-you-choose,resources,webinars,data-engineer-vs-data-scientist-which-one-should-you-choose
https://www.datacamp.com/resources/webinars/imlementing-power-bi-best-practices,resources,webinars,imlementing-power-bi-best-practices
https://www.datacamp.com/resources/webinars/how-to-pass-the-power-bi-pl-300-certitifcation,resources,webinars,how-to-pass-the-power-bi-pl-300-certitifcation
https://www.datacamp.com/resources/webinars/how-to-build-the-business-case-for-data-literacy,resources,webinars,how-to-build-the-business-case-for-data-literacy
https://www.datacamp.com/resources/webinars/building-data-literacy-datacamp,resources,webinars,building-data-literacy-datacamp
https://www.datacamp.com/resources/webinars/running-data-hackathons-with-data-camp-workspace,resources,webinars,running-data-hackathons-with-data-camp-workspace
https://www.datacamp.com/resources/webinars/responsible-ai-evaluating-machine-learning-models-in-python,resources,webinars,responsible-ai-evaluating-machine-learning-models-in-python
https://www.datacamp.com/resources/webinars/introduction-to-experiment-tracking,resources,webinars,introduction-to-experiment-tracking
https://www.datacamp.com/resources/webinars/dashboard-design-best-practices-in-tableau,resources,webinars,dashboard-design-best-practices-in-tableau
https://www.datacamp.com/resources/webinars/unleash-the-power-and-profit-of-a-data-and-people-strategy,resources,webinars,unleash-the-power-and-profit-of-a-data-and-people-strategy
https://www.datacamp.com/resources/webinars/unlocking-data-cultures-empowering-people-through-data-literacy-programs,resources,webinars,unlocking-data-cultures-empowering-people-through-data-literacy-programs
https://www.datacamp.com/resources/webinars/best-practices-for-using-jupyter-notebooks-in-production,resources,webinars,best-practices-for-using-jupyter-notebooks-in-production
https://www.datacamp.com/resources/webinars/data-ethics-and-gdpr-for-data-practitioners,resources,webinars,data-ethics-and-gdpr-for-data-practitioners
https://www.datacamp.com/resources/webinars/ai-for-visual-data-computer-vision-in-business,resources,webinars,ai-for-visual-data-computer-vision-in-business
https://www.datacamp.com/resources/webinars/empowering-government-with-data-and-ai-literacy,resources,webinars,empowering-government-with-data-and-ai-literacy
https://www.datacamp.com/resources/webinars/data-camp-classrooms-orientation-autumn-2023,resources,webinars,data-camp-classrooms-orientation-autumn-2023
