Links,subdir1,subdir2,subdir3
https://www.datacamp.com/sitemap/blog/category.xml,sitemap,blog,category.xml
https://www.datacamp.com/sitemap/courses.xml,sitemap,courses.xml,
https://www.datacamp.com/sitemap/cheat-sheet/category.xml,sitemap,cheat-sheet,category.xml
https://www.datacamp.com/sitemap/tracks.xml,sitemap,tracks.xml,
https://www.datacamp.com/sitemap/code-along.xml,sitemap,code-along.xml,
https://www.datacamp.com/sitemap/blog.xml,sitemap,blog.xml,
https://www.datacamp.com/sitemap/tutorial.xml,sitemap,tutorial.xml,
https://www.datacamp.com/sitemap/es.xml,sitemap,es.xml,
https://www.datacamp.com/sitemap/stories.xml,sitemap,stories.xml,
https://www.datacamp.com/sitemap/groups.xml,sitemap,groups.xml,
https://www.datacamp.com/sitemap/podcast/page.xml,sitemap,podcast,page.xml
https://www.datacamp.com/sitemap/data-courses.xml,sitemap,data-courses.xml,
https://www.datacamp.com/sitemap/business.xml,sitemap,business.xml,
https://www.datacamp.com/sitemap/podcast/category.xml,sitemap,podcast,category.xml
https://www.datacamp.com/sitemap/blog/page.xml,sitemap,blog,page.xml
https://www.datacamp.com/sitemap/tutorial/page.xml,sitemap,tutorial,page.xml
https://www.datacamp.com/sitemap/resources.xml,sitemap,resources.xml,
https://www.datacamp.com/sitemap/podcast.xml,sitemap,podcast.xml,
https://www.datacamp.com/sitemap/cheat-sheet.xml,sitemap,cheat-sheet.xml,
https://www.datacamp.com/sitemap/donates.xml,sitemap,donates.xml,
https://www.datacamp.com/sitemap/instructors.xml,sitemap,instructors.xml,
https://www.datacamp.com/sitemap/tutorial/category.xml,sitemap,tutorial,category.xml
https://www.datacamp.com/sitemap/webinars.xml,sitemap,webinars.xml,
https://www.datacamp.com/sitemap/projects.xml,sitemap,projects.xml,
https://www.datacamp.com/sitemap/learn.xml,sitemap,learn.xml,
https://www.datacamp.com/sitemap/cheat-sheet/page.xml,sitemap,cheat-sheet,page.xml
https://www.datacamp.com/sitemap/general-sections.xml,sitemap,general-sections.xml,
https://www.datacamp.com/sitemap/portfolio.xml,sitemap,portfolio.xml,
https://www.datacamp.com/sitemap/workspace.xml,sitemap,workspace.xml,
