Links,subdir1,subdir2
https://www.datacamp.com/webinars/analyzing-top-runner-performance-from-a-to-z-with-ai-using-workspace,webinars,analyzing-top-runner-performance-from-a-to-z-with-ai-using-workspace
https://www.datacamp.com/webinars/a-more-human-future-in-the-era-of-ai,webinars,a-more-human-future-in-the-era-of-ai
https://www.datacamp.com/webinars/using-feature-stores-for-managing-feature-engineering-in-python,webinars,using-feature-stores-for-managing-feature-engineering-in-python
https://www.datacamp.com/webinars/build-modern-data-engineering-skills-with-datacamp,webinars,build-modern-data-engineering-skills-with-datacamp
https://www.datacamp.com/webinars/driving-ai-literacy-in-organizations,webinars,driving-ai-literacy-in-organizations
https://www.datacamp.com/webinars/using-workspace-in-the-classroom,webinars,using-workspace-in-the-classroom
https://www.datacamp.com/webinars/vector-databases-for-data-science-with-weaviate-in-python,webinars,vector-databases-for-data-science-with-weaviate-in-python
https://www.datacamp.com/webinars/data-science-in-the-energy-industry,webinars,data-science-in-the-energy-industry
https://www.datacamp.com/webinars/getting-roi-from-ai,webinars,getting-roi-from-ai
https://www.datacamp.com/webinars/datacamp-for-business-demo-build-data-and-ai-skills-at-scale-august-30,webinars,datacamp-for-business-demo-build-data-and-ai-skills-at-scale-august-30
https://www.datacamp.com/webinars/datacamp-classrooms-orientation-fall-2023,webinars,datacamp-classrooms-orientation-fall-2023
https://www.datacamp.com/webinars/building-sustainable-learning-cultures-maximising-data-upskilling,webinars,building-sustainable-learning-cultures-maximising-data-upskilling
https://www.datacamp.com/webinars/analyzing-general-society-survey-data-using-python,webinars,analyzing-general-society-survey-data-using-python
https://www.datacamp.com/webinars/beginners-guide-to-prompt-engineering-with-chatgpt,webinars,beginners-guide-to-prompt-engineering-with-chatgpt
https://www.datacamp.com/webinars/analyzing-credit-scores-with-tidymodels-r,webinars,analyzing-credit-scores-with-tidymodels-r
https://www.datacamp.com/webinars/utilizing-public-data-effectively,webinars,utilizing-public-data-effectively
https://www.datacamp.com/webinars/using-ai-to-enhance-product-pages-with-langchain-and-python,webinars,using-ai-to-enhance-product-pages-with-langchain-and-python
https://www.datacamp.com/webinars/the-future-of-data-skills,webinars,the-future-of-data-skills
https://www.datacamp.com/webinars/accelerating-your-data-career-with-datacamp-portfolio,webinars,accelerating-your-data-career-with-datacamp-portfolio
https://www.datacamp.com/webinars/DataCamp-Q2-2023-Roadmap,webinars,DataCamp-Q2-2023-Roadmap
https://www.datacamp.com/webinars/building-ai-applications-with-langchain-and-gpt,webinars,building-ai-applications-with-langchain-and-gpt
https://www.datacamp.com/webinars/calculating-kpis-dax-power-bi,webinars,calculating-kpis-dax-power-bi
https://www.datacamp.com/webinars/empowering-data-teams-how-to-approach-upskilling-and-continuous-learning,webinars,empowering-data-teams-how-to-approach-upskilling-and-continuous-learning
https://www.datacamp.com/webinars/building-a-data-strategy-aligning-data-with-business-goals,webinars,building-a-data-strategy-aligning-data-with-business-goals
https://www.datacamp.com/webinars/kickstart-your-career-with-datacamp-certification,webinars,kickstart-your-career-with-datacamp-certification
https://www.datacamp.com/webinars/running-data-hackathons-with-datacamp-workspace,webinars,running-data-hackathons-with-datacamp-workspace
https://www.datacamp.com/webinars/datacamp-q1-2023-roadmap,webinars,datacamp-q1-2023-roadmap
https://www.datacamp.com/webinars/cleaning-data-in-python,webinars,cleaning-data-in-python
https://www.datacamp.com/webinars/supercharging-your-data-workflow-with-AI-in-datacamp-workspace,webinars,supercharging-your-data-workflow-with-AI-in-datacamp-workspace
https://www.datacamp.com/webinars/getting-started-with-the-openai-and-chatgpt,webinars,getting-started-with-the-openai-and-chatgpt
https://www.datacamp.com/webinars/what-chatgpt-enterprise-means-for-your-organization,webinars,what-chatgpt-enterprise-means-for-your-organization
https://www.datacamp.com/webinars/datacamp-for-business-demo-build-data-and-ai-skills-at-scale,webinars,datacamp-for-business-demo-build-data-and-ai-skills-at-scale
https://www.datacamp.com/webinars/responsible-ai-evaluating-machine-learning-models-in-python,webinars,responsible-ai-evaluating-machine-learning-models-in-python
https://www.datacamp.com/webinars/introduction-to-experiment-tracking,webinars,introduction-to-experiment-tracking
https://www.datacamp.com/webinars/how-specsavers-upskilled-their-data-teams,webinars,how-specsavers-upskilled-their-data-teams
https://www.datacamp.com/webinars/buy-or-train-using-large-language-models-in-the-enterprise,webinars,buy-or-train-using-large-language-models-in-the-enterprise
https://www.datacamp.com/webinars/data-storytelling-about-green-businesses,webinars,data-storytelling-about-green-businesses
https://www.datacamp.com/webinars/using-joins-to-analyze-book-sales-sql,webinars,using-joins-to-analyze-book-sales-sql
https://www.datacamp.com/webinars/exploratory-data-analysis-in-spreadsheets,webinars,exploratory-data-analysis-in-spreadsheets
https://www.datacamp.com/webinars/supermarket-transaction-analysis-sql,webinars,supermarket-transaction-analysis-sql
https://www.datacamp.com/webinars/datacamp-for-business-demo-build-data-and-ai-skills-at-scale-july-26,webinars,datacamp-for-business-demo-build-data-and-ai-skills-at-scale-july-26
https://www.datacamp.com/webinars/using-chatgpt-code-interpreter-for-data-science,webinars,using-chatgpt-code-interpreter-for-data-science
