Links,subdir1,subdir2,subdir3
https://www.datacamp.com/workspace/datasets/dataset-python-netflix-top-10,workspace,datasets,dataset-python-netflix-top-10
https://www.datacamp.com/workspace/buy,workspace,buy,
https://www.datacamp.com/workspace/datasets/dataset-python-international-soccer,workspace,datasets,dataset-python-international-soccer
https://www.datacamp.com/workspace/datasets/dataset-r-international-soccer,workspace,datasets,dataset-r-international-soccer
https://www.datacamp.com/workspace/templates/dataset-python-netflix-movie-data,workspace,templates,dataset-python-netflix-movie-data
https://www.datacamp.com/workspace/datasets/dataset-r-e-commerce,workspace,datasets,dataset-r-e-commerce
https://www.datacamp.com/workspace/datasets/dataset-r-news-articles,workspace,datasets,dataset-r-news-articles
https://www.datacamp.com/workspace/templates/recipe-python-detect-outliers,workspace,templates,recipe-python-detect-outliers
https://www.datacamp.com/workspace/templates/recipe-python-word-cloud,workspace,templates,recipe-python-word-cloud
https://www.datacamp.com/workspace/datasets/dataset-r-sleep-health,workspace,datasets,dataset-r-sleep-health
https://www.datacamp.com/workspace/datasets/dataset-python-sleep-health,workspace,datasets,dataset-python-sleep-health
https://www.datacamp.com/workspace/templates/recipe-python-time-series-decomposition,workspace,templates,recipe-python-time-series-decomposition
https://www.datacamp.com/workspace/integrations,workspace,integrations,
https://www.datacamp.com/workspace/datasets/dataset-python-bank-marketing,workspace,datasets,dataset-python-bank-marketing
https://www.datacamp.com/workspace/datasets/dataset-r-spotify-music,workspace,datasets,dataset-r-spotify-music
https://www.datacamp.com/workspace/datasets/dataset-r-airbnb-listings,workspace,datasets,dataset-r-airbnb-listings
https://www.datacamp.com/workspace/datasets/dataset-python-airbnb-listings,workspace,datasets,dataset-python-airbnb-listings
https://www.datacamp.com/workspace/datasets/dataset-python-netflix-movie-data,workspace,datasets,dataset-python-netflix-movie-data
https://www.datacamp.com/workspace/templates/template-python-anonymize-data,workspace,templates,template-python-anonymize-data
https://www.datacamp.com/workspace/datasets/dataset-r-credit-card-fraud,workspace,datasets,dataset-r-credit-card-fraud
https://www.datacamp.com/workspace/templates/template-python-create-a-sankey-diagram,workspace,templates,template-python-create-a-sankey-diagram
https://www.datacamp.com/workspace/datasets/sample-integration-oracle,workspace,datasets,sample-integration-oracle
https://www.datacamp.com/workspace/templates/recipe-python-amazon-s3-bucket-connection,workspace,templates,recipe-python-amazon-s3-bucket-connection
https://www.datacamp.com/workspace/datasets/dataset-python-credit-card-fraud,workspace,datasets,dataset-python-credit-card-fraud
https://www.datacamp.com/workspace/datasets/dataset-python-bike-sharing-divvy,workspace,datasets,dataset-python-bike-sharing-divvy
https://www.datacamp.com/workspace/datasets/dataset-r-bike-sharing-divvy,workspace,datasets,dataset-r-bike-sharing-divvy
https://www.datacamp.com/workspace/datasets/sample-integration-mysql,workspace,datasets,sample-integration-mysql
https://www.datacamp.com/workspace/templates/template-python-fraud-feature-engineering,workspace,templates,template-python-fraud-feature-engineering
https://www.datacamp.com/workspace/templates/template-python-seaborn-formatting,workspace,templates,template-python-seaborn-formatting
https://www.datacamp.com/workspace/templates/recipe-python-evaluate-model-f-score,workspace,templates,recipe-python-evaluate-model-f-score
